,Title,Published_date,Views,Likes,Favorites,Comments,Month
109,Haar Heem Horror-er Mahaparbo shunun aaj sondhye 7tay! #shorts,2025-07-29,5787,171,0,6,Jul
110,Kachher Manush | Suchitra Bhattacharya | Golpo Goldmine | Mirchi Bangla Audio Story | Episode 9,2025-07-29,35455,1249,0,66,Jul
111,Sei Canvas | Kisher Shobdo? | Ep 1 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-07-28,10415,356,0,19,Jul
112,This is how we recorded Mitzi! 😂,2025-07-28,135245,3942,0,109,Jul
113,Krishna Katha | Usha Aniruddher Milon | Times of Puraan | Mirchi Bangla Audio Story | Episode 31,2025-07-28,12206,470,0,24,Jul
114,Dev tahole finally kaar? Chandramallika naki Paromitar? Naki AI-er?,2025-07-28,18433,433,0,10,Jul
115,Sunday Suspense | Miss Marple | A Murder is Announced | Agatha Christie | Mirchi Bangla | Part 2,2025-07-27,332869,6720,0,573,Jul
116,Sunday Suspense | Miss Marple | A Murder is Announced | Agatha Christie | Mirchi Bangla | Part 1,2025-07-27,657254,9793,0,478,Jul
117,What The Comment? EP2 #shorts,2025-07-27,7137,243,0,7,Jul
118,Mirchi Bangla-র Youtube পরিবার বেড়ে এখন ৩০ লাখ.…সেই উপলক্ষ্যে কী বললেন @gauravchakrabarty ?#mirchi,2025-07-27,19339,1798,0,53,Jul
119,Sunday Suspense Classics | Dastar Angti | Alok Ghosh | Mirchi Bangla Audio Story,2025-07-26,281994,4293,0,201,Jul
120,মন থেকে সকল কে অনেক অনেক ধন্যবাদ! আপনারা ছিলেন বলেই আমরা এতটা দূর আসতে পেরেছি!,2025-07-26,22122,1285,0,90,Jul
121,"এইবার একেবারে অন্যরকম চরিত্রে তমালী চৌধুরী ! কালকে শোনার আগে, রইল একটু ঝলক !",2025-07-26,23644,822,0,34,Jul
122,Kachher Manush | Suchitra Bhattacharya | Golpo Goldmine | Mirchi Bangla Audio Story  | Episode 8,2025-07-26,36304,1272,0,75,Jul
123,Agatha Christie-র লেখা গল্প কেমন লাগে বর্ষীয়ান অভিনেত্রী সুদীপা বসুর ?,2025-07-26,16863,888,0,16,Jul
124,A Tale of Two Cities | Charles Dickens | World Classics | Mirchi Bangla Audio Story,2025-07-25,140358,3277,0,239,Jul
125,Jim Corbett VS The Man Eating Leopard of Rudraprayag! #Shorts #leopard,2025-07-25,14440,660,0,13,Jul
126,আপনি কি জানেন কোন জায়গার কথা বলা হচ্ছে? জানলে কমেন্ট করুন! Crime Katha আসছে!,2025-07-25,8380,158,0,9,Jul
127,Uttore Jojo | Case Closed | Ep 30 | Bengali Audio Thriller | Mirchi Bangla,2025-07-25,5318,136,0,14,Jul
128,অডিওতে অভিনয় নিয়ে নিজের অভিজ্ঞতা ভাগ করে নিলেন অভিনেত্রী বিদীপ্তা চক্রবর্তী !,2025-07-25,10298,353,0,5,Jul
129,MirchiOriginals er golpo Ghor shunun shudhumatro amader Youtube Channel ar Gaana App-ey!,2025-07-25,10459,390,0,15,Jul
130,Haar Heem Horror | Season 4 | Kuhokini | EP 34 | Bangla Horror Story | Mirchi Bangla,2025-07-25,26513,1022,0,72,Jul
131,Unknown Facts about Agatha Christie Ft. Indrani #shorts,2025-07-25,21383,1148,0,27,Jul
132,Hotel Elgin Inn Part 2 | Full Story | Bengali Drama Story | Mirchi Bangla,2025-07-24,16009,292,0,30,Jul
133,Miss Marple-এর চোখ কে ফাঁকি দেওয়া এত সহজ নয়!,2025-07-24,44891,1258,0,18,Jul
134,Uttore Jojo | Ghu Ghu Ebar Phnade | Ep 29 | Bengali Audio Thriller | Mirchi Bangla,2025-07-24,3353,121,0,4,Jul
135,William Sydney Porter এবং আজকের দিন। #Mirchibangla #MirchiBanglaStories #OHenry #UnknownFacts,2025-07-24,16992,983,0,19,Jul
136,Tarpor Ki Holo? Ep: 1 ft. Mirchi Agni #shorts #mirchibangla,2025-07-24,7528,248,0,6,Jul
137,"#FridayClassics-এ শুনুন, A Tale of Two Cities, শুধুমাত্র #MirchiBangla Youtube Channel !",2025-07-24,10320,346,0,12,Jul
138,Hotel Elgin Inn Part 1 | Full Story | Bengali Drama Story | Mirchi Bangla,2025-07-24,48103,724,0,35,Jul
139,আজ মহানায়ক উত্তম কুমারের মৃত্যুবার্ষিকী। তাই উত্তম স্মরণ করলেন ইন্দ্রাণী চক্রবর্তী।,2025-07-24,9595,295,0,10,Jul
140,সানডে সাসপেন্সে প্রথমবার বিদীপ্তা চক্রবর্তী। এই রবিবার একটি গুরুত্বপূর্ণ চরিত্রে শুনুন তাঁকে !,2025-07-24,12975,457,0,12,Jul
141,Kachher Manush | Suchitra Bhattacharya | Golpo Goldmine | Mirchi Bangla Audio Story  | Episode 7,2025-07-24,40236,1363,0,108,Jul
142,Introducing Miss Marple on Sunday Suspense! #shorts,2025-07-24,11209,431,0,34,Jul
143,Uttore Jojo | Chodmobesh | Ep 28 | Bengali Audio Thriller | Mirchi Bangla,2025-07-23,3970,143,0,14,Jul
144,Team Sunday Suspense er sob wishes rejected! #shorts,2025-07-23,18246,907,0,14,Jul
145,"মহানায়ক উত্তম কুমারের মৃত্যুবার্ষিকী, একটু উত্তম স্মরণ করলেন ইন্দ্রাণী চক্রবর্তী।",2025-07-23,19570,1266,0,79,Jul
146,হঠাৎ এত রেগে গেল কেন তৃণাঞ্জনা?#SundaySuspense #MirchiBangla #Gaana #sundaysuspensefollowers,2025-07-23,20601,624,0,7,Jul
147,Krishna Katha | Sri Krishner Sangshar | Times of Puraan | Mirchi Bangla Audio Story | Episode 30,2025-07-23,15327,541,0,42,Jul
148,আপনি কি জানেন কোন জায়গার কথা বলা হচ্ছে? জানলে কমেন্ট করুন! Crime Katha আসছে!!,2025-07-23,6981,177,0,11,Jul
149,Mirchi Pocket Stories: Episode 1! #Microdramas #shorts,2025-07-22,9656,278,0,8,Jul
150,Uttore Jojo | William Saheb Ashole Ke? | Ep 27 | Bengali Audio Thriller | Mirchi Bangla,2025-07-22,4177,127,0,11,Jul
151,Haar Heem Horror | Season 4 | Sur | EP 33 | Bangla Horror Story | Mirchi Bangla,2025-07-22,14816,568,0,16,Jul
152,Tomar heartbreak holey ki AI-er shonge kotha bolbe?,2025-07-22,11377,267,0,14,Jul
153,Gaurav Chakrabarty shares his fascination about Jim Corbett and his Adventures!,2025-07-22,14547,1093,0,35,Jul
154,Jeo Naa Chhere | Original Song | Mrityur Thaba | Sunday Suspense | Mirchi Bangla,2025-07-22,7901,476,0,67,Jul
155,Kachher Manush | Suchitra Bhattacharya | Golpo Goldmine | Mirchi Bangla Audio Story  | Episode 6,2025-07-22,38471,1364,0,56,Jul
156,Jeo Na Chhere from Mrityur Thaba will be out today at 5pm only on the Mirchi Bangla Youtube Channel,2025-07-22,9871,297,0,11,Jul
157,AI-এর কাছে কি সব প্রশ্নের উত্তর আছে? আপনাদের কী মতামত? #shorts,2025-07-22,7248,205,0,4,Jul
158,Uttore Jojo | Gopon Chokro | Ep 26 | Bengali Audio Thriller | Mirchi Bangla,2025-07-21,4458,129,0,4,Jul
159,Krishna Katha | Krishna Putro Pradumno | Times of Puraan | Mirchi Bangla Audio Story | Episode 29,2025-07-21,14462,576,0,41,Jul
160,Sunday Suspense | Rudraprayager Manushkheko | Jim Corbett | Mirchi Bangla Audio Story,2025-07-20,791517,15619,0,1373,Jul
161,Sunday Suspense Classics | Maajh Raater Call | Premendra Mitra | Mirchi Bangla Audio Story,2025-07-19,242040,5118,0,179,Jul
162,Ghor | Atanu Tanuj Ghosh | Bengali Audio Drama | Mirchi Bangla Originals,2025-07-19,91986,1481,0,139,Jul
163,What The Comment? Episode-1 ft. Arunima,2025-07-19,6232,227,0,8,Jul
164,Presenting Gaurav Chakrabarty in and as Jim Corbett on Sunday Suspense tomorrow ! #shorts,2025-07-19,22921,1473,0,52,Jul
165,Kachher Manush | Suchitra Bhattacharya | Golpo Goldmine | Mirchi Bangla Audio Story  | Episode 5,2025-07-19,39299,1252,0,44,Jul
166,"একবার তিনি চিতাবাঘের কবলে পড়েন, আর একবার মুখোমুখি বাইসন ! #shorts",2025-07-19,6110,170,0,0,Jul
167,Agra Jakhon Talomolo | Premendra Mitra | Friday Classics | Mirchi Bangla Audio Story,2025-07-18,234176,4005,0,175,Jul
168,Uttore Jojo | Green Tree Insurance Company | Ep 25 | Bengali Audio Thriller | Mirchi Bangla,2025-07-18,4277,128,0,3,Jul
169,অডিওতে তিনি Jim Corbett ! কিন্তু ছোটবেলায় বাবা-মায়ের সঙ্গে জঙ্গলে বেড়াতে গিয়ে ঘটেছিল চরম বিপদ!,2025-07-18,37855,2209,0,53,Jul
170,Haar Heem Horror | Season 4 | Kuasha-r Modhye Ek Saraikhana | EP 32 | Mirchi Bangla,2025-07-18,20689,701,0,23,Jul
171,দুর্গাপুরের ছেলে এখন Forest Range Officer! কেমন কাটছে জঙ্গলের মধ্যে জীবন?,2025-07-18,13378,578,0,13,Jul
172,Uttore Jojo | Thanar Reporting | Ep 24 | Bengali Audio Thriller | Mirchi Bangla,2025-07-17,4297,137,0,7,Jul
173,E toh Chorus noye shudhui chaos! 😆 #sundaysuspense #mirchibangla #gaana,2025-07-17,34722,778,0,14,Jul
174,Horror Stories Back to Back | Bangla Horror Story | Haar Heem Horror | Mirchi Bangla - EP 16,2025-07-17,87574,1346,0,36,Jul
175,Kachher Manush | Suchitra Bhattacharya | Golpo Goldmine | Mirchi Bangla | Episode 4,2025-07-17,43727,1358,0,60,Jul
176,Mrityur Thaba Theme Song | OST by Soumo-Subho (Crostec) | Ron-E | Mirchi Bangla,2025-07-17,11801,468,0,35,Jul
177,Uttore Jojo |  Pedrosaheb-er Astaana | Ep 23 | Bengali Audio Thriller | Mirchi Bangla,2025-07-16,4380,127,0,10,Jul
178,"আজকে মির্চি অফিসে সৈকত! শিখতে নয়, আমাদের শিখিয়ে গেল অনেক কিছু! ভালো থেকো তুমি! #sundaysuspense",2025-07-16,21537,1033,0,20,Jul
179,Krishna Katha | Rukmini Haran | Times of Puraan | Mirchi Bangla Audio Story | Episode 28,2025-07-16,14623,592,0,46,Jul
180,Uttore Jojo |  Gontobbyo Race-er Math | Ep 22 | Bengali Audio Thriller | Mirchi Bangla,2025-07-15,4471,129,0,8,Jul
181,"Team Mrityur Thaba Live | Ft. Crostec, Abhijit, Abhik Dutta | Mirchi Bangla",2025-07-15,7019,230,0,27,Jul
182,প্রেম ভাঙলে কী করা উচিত আপনারাই বলুন ?কমেন্টস সেক্শনে জানান।,2025-07-15,28573,1029,0,54,Jul
183,Haar Heem Horror | Season 4 | Biswasghatok | EP 31 | Bangla Horror Story | Mirchi Bangla,2025-07-15,15183,542,0,15,Jul
184,এই রবিবার একেবারে অন্যরূপে শুনবেন Gaurav Chakrabarty কে! সবাই তৈরি তো? #sundaysuspense,2025-07-15,73343,2690,0,47,Jul
185,Gourab Tapadar er ki mobile phoner nesha achey? #shorts,2025-07-15,9636,398,0,12,Jul
186,Kachher Manush | Suchitra Bhattacharya | Golpo Goldmine | Mirchi Bangla | Episode 3,2025-07-15,54865,1489,0,63,Jul
187,Uttore Jojo |  Swopno | Ep 21 | Bengali Audio Thriller | Mirchi Bangla,2025-07-14,4268,146,0,9,Jul
188,Krishna Katha | Kaljaban-er Mrityu | Times of Puraan | Mirchi Bangla | Episode 27,2025-07-14,14613,578,0,32,Jul
189,এই রবিবার আবার চমক? #sundaysuspense #shorts,2025-07-14,19607,603,0,11,Jul
190,আপনার ফোনের Utility কী? জানান কমেন্টস সেকশনে !,2025-07-14,11444,494,0,21,Jul
191,Sunday Suspense | Mrityur Thaba | Abhik Dutta | Mirchi Bangla Audio Story,2025-07-13,827870,16925,0,2490,Jul
192,Sunday Suspense Classics | Moner Rong Dhushor | Baisali Dasgupta Nandi | Mirchi Bangla,2025-07-12,130488,2594,0,145,Jul
193,Kachher Manush | Suchitra Bhattacharya | Golpo Goldmine | Mirchi Bangla | Episode 2,2025-07-12,75930,1797,0,93,Jul
194,"এই রবিবার মৃত্যুর থাবা গল্পে, #SundaySuspense-এ প্রথমবার অভিনয় করলেন Suhotra Mukhopadhyay !",2025-07-12,30483,1723,0,86,Jul
195,Middlemarch |  George Eliot | World Classics | Mirchi Bangla,2025-07-11,100396,2173,0,189,Jul
196,How to stay away from Phone Addiction? Ft. Anindya Sengupta #sundaysuspense,2025-07-11,23139,953,0,38,Jul
197,Uttore Jojo |  Kagojer Tukro | Ep 20 | Bengali Audio Thriller | Mirchi Bangla,2025-07-11,3750,134,0,10,Jul
198,16th Birthday! 🥳🥳16 Lucky Sunday Suspense Fans! And partyyyy begins! 😎,2025-07-11,14007,446,0,20,Jul
